id,status,currency,country_code,country_name
2682,success,NGN,NG,Nigeria
2683,success,NGN,NG,Nigeria
2684,abandoned,USD,null,null
2685,success,NGN,NG,Nigeria
2686,abandoned,NGN,null,null
2687,success,NGN,NG,Nigeria
2688,abandoned,NGN,null,null
2689,abandoned,NGN,null,null
2690,abandoned,NGN,null,null
2691,abandoned,NGN,null,null
2692,failed,NGN,NG,Nigeria
2693,abandoned,NGN,null,null
2694,success,USD,NG,Nigeria
2695,success,NGN,NG,Nigeria
2696,abandoned,NGN,null,null
2697,abandoned,NGN,null,null
2698,failed,NGN,NG,Nigeria
2699,success,NGN,NG,Nigeria
2700,failed,NGN,NG,Nigeria
2701,success,NGN,NG,Nigeria
2702,success,NGN,NG,Nigeria
2703,success,NGN,NG,Nigeria
2704,success,NGN,NG,Nigeria
2705,success,NGN,NG,Nigeria
2706,abandoned,NGN,null,null
2707,failed,NGN,NG,Nigeria
2708,abandoned,NGN,NG,Nigeria
2709,failed,USD,NG,Nigeria
2710,success,NGN,GB,United Kingdom
2711,success,NGN,NG,Nigeria
2712,success,NGN,NG,Nigeria
2713,success,NGN,NG,Nigeria
2714,success,NGN,NG,Nigeria
2715,success,NGN,NG,Nigeria
2716,success,NGN,NG,Nigeria
2717,abandoned,NGN,null,null
2718,abandoned,USD,CA,Canada
2719,failed,NGN,NG,Nigeria
2720,success,NGN,NG,Nigeria
2721,success,USD,US,United States
2722,success,NGN,NG,Nigeria
2723,abandoned,NGN,null,null
2724,abandoned,NGN,null,null
2725,success,NGN,NG,Nigeria
2726,abandoned,NGN,null,null
2727,success,NGN,NG,Nigeria
2728,abandoned,NGN,null,null
2729,failed,USD,NG,Nigeria
2730,abandoned,NGN,null,null
2731,success,NGN,NG,Nigeria
2732,abandoned,NGN,null,null
2733,success,NGN,NG,Nigeria
2734,failed,NGN,NG,Nigeria
2735,abandoned,USD,null,null
2736,abandoned,NGN,null,null
2737,abandoned,NGN,NG,Nigeria
2738,abandoned,NGN,null,null
2739,success,NGN,NG,Nigeria
2740,abandoned,NGN,null,null
2741,abandoned,NGN,NG,Nigeria
2742,reversed,NGN,NG,Nigeria
2743,success,NGN,NG,Nigeria
2744,failed,USD,US,United States
2745,failed,USD,null,null
2746,abandoned,NGN,null,null
2747,success,NGN,NG,Nigeria
2748,success,NGN,NG,Nigeria
2749,failed,USD,KY,Cayman Islands
2750,success,NGN,NG,Nigeria
2751,abandoned,NGN,null,null
2752,success,USD,GB,United Kingdom
2753,success,USD,IE,Ireland
2754,abandoned,NGN,null,null
2755,abandoned,NGN,null,null
2756,abandoned,NGN,null,null
2757,abandoned,NGN,null,null
2758,failed,NGN,US,United States
2759,failed,NGN,NG,Nigeria
2760,abandoned,USD,null,null
2761,abandoned,NGN,null,null
2762,success,NGN,NG,Nigeria
2763,success,NGN,NG,Nigeria
2764,success,NGN,NG,Nigeria
2765,success,NGN,NG,Nigeria
2766,abandoned,USD,null,null
2767,success,USD,GB,United Kingdom
2768,success,NGN,NG,Nigeria
2769,reversed,NGN,NG,Nigeria
2770,abandoned,NGN,null,null
2771,abandoned,NGN,null,null
2772,abandoned,NGN,null,null
2773,success,NGN,NG,Nigeria
2774,success,NGN,NG,Nigeria
2775,success,NGN,NG,Nigeria
2776,success,NGN,NG,Nigeria
2777,reversed,NGN,NG,Nigeria
2778,abandoned,NGN,null,null
2779,success,NGN,NG,Nigeria
2780,failed,NGN,NG,Nigeria
2781,abandoned,NGN,null,null
2782,success,NGN,NG,Nigeria
2783,success,NGN,NG,Nigeria
2784,abandoned,USD,null,null
2785,abandoned,NGN,null,null
2786,abandoned,NGN,null,null
2787,success,NGN,null,null
2788,success,NGN,NG,Nigeria
2789,abandoned,NGN,NG,Nigeria
2790,abandoned,USD,null,null
2791,success,NGN,NG,Nigeria
2792,success,NGN,NG,Nigeria
2793,abandoned,NGN,null,null
2794,abandoned,NGN,null,null
2795,failed,NGN,NG,Nigeria
2796,success,NGN,NG,Nigeria
2797,abandoned,NGN,null,null
2798,abandoned,NGN,null,null
2799,success,NGN,NG,Nigeria
2800,success,USD,NG,Nigeria
2801,success,NGN,NG,Nigeria
2802,abandoned,NGN,null,null
2803,success,NGN,NG,Nigeria
2804,abandoned,NGN,null,null
2805,success,NGN,NG,Nigeria
2806,abandoned,NGN,null,null
2807,success,NGN,IE,Ireland
2808,success,NGN,NG,Nigeria
2809,success,NGN,NG,Nigeria
2810,failed,NGN,NG,Nigeria
2811,success,NGN,NG,Nigeria
2812,success,NGN,NG,Nigeria
2813,success,NGN,NG,Nigeria
2814,success,NGN,NG,Nigeria
2815,success,NGN,NG,Nigeria
2816,abandoned,NGN,null,null
2817,abandoned,NGN,null,null
2818,failed,USD,US,United States
2819,abandoned,NGN,null,null
2820,failed,USD,US,United States
2821,success,NGN,NG,Nigeria
2822,failed,NGN,GB,United Kingdom
2823,success,NGN,NG,Nigeria
2824,abandoned,NGN,null,null
2825,success,NGN,NG,Nigeria
2826,failed,NGN,NG,Nigeria
2827,abandoned,USD,BD,Bangladesh
2828,abandoned,NGN,null,null
2829,success,NGN,FR,France
2830,abandoned,NGN,null,null
2831,success,NGN,GB,United Kingdom
